Sl_No,Customer Key,Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made,Gender
1,87073,100000,2,1,1,0,Male
2,38414,50000,3,0,10,9,Female
3,17341,50000,7,1,3,4,Male
4,40496,30000,5,1,1,4,Male
5,47437,100000,6,0,12,3,Male
6,58634,20000,3,0,1,8,Male
7,48370,100000,5,0,11,2,Male
8,37376,15000,3,0,1,1,Male
9,82490,5000,2,0,2,2,Male
10,44770,3000,4,0,1,7,Male
11,52741,10000,4,0,5,5,Female
12,52326,13000,3,0,2,7,Female
13,92503,11000,1,2,5,9,Female
14,25084,9000,1,1,5,6,Female
15,68517,6000,2,2,4,6,Male
16,55196,8000,2,0,5,7,Male
17,62617,15000,2,1,2,4,Male
18,96463,8000,2,0,3,4,Female
19,39137,11000,2,2,2,7,Male
20,14309,19000,4,1,5,8,Male
21,29794,5000,3,2,5,5,Male
22,87241,16000,2,0,3,7,Male
23,30507,6000,4,1,4,6,Male
24,61061,9000,1,1,3,4,Male
25,24001,8000,2,0,2,10,Female
26,68067,18000,1,1,5,10,Female
27,65034,16000,3,0,5,9,Male
28,14854,9000,2,2,2,10,Male
29,81130,5000,2,0,4,6,Female
30,29112,8000,4,0,4,7,Female
31,13999,16000,3,1,5,4,Male
32,32550,11000,3,1,5,6,Female
33,82164,6000,1,0,5,10,Male
34,61517,16000,1,0,5,6,Female
35,28254,8000,4,1,3,10,Female
36,30888,19000,2,0,4,4,Female
37,46388,9000,3,1,4,10,Female
38,74126,17000,2,0,4,6,Female
39,52142,13000,4,1,3,10,Female
40,37659,10000,2,2,4,9,Male
41,83132,19000,4,2,5,9,Female
42,20119,10000,1,1,2,7,Male
43,52363,16000,4,2,3,4,Female
44,50769,20000,2,0,4,4,Male
45,68502,11000,4,2,4,5,Female
46,99026,14000,4,1,4,9,Male
47,83326,5000,1,2,2,5,Female
48,62040,11000,1,2,2,6,Male
49,37252,6000,4,0,2,8,Female
50,74625,14000,3,2,2,6,Male
51,51182,13000,1,0,5,9,Female
52,60301,6000,2,1,5,5,Male
53,96386,17000,2,1,5,8,Female
54,43886,9000,3,0,5,9,Male
55,78503,14000,2,0,4,9,Male
56,68419,6000,1,2,2,4,Female
57,32828,6000,1,0,2,5,Male
58,17937,6000,2,0,2,10,Female
59,71632,9000,1,0,4,7,Male
60,81566,19000,4,1,4,9,Male
61,29759,20000,4,1,4,7,Male
62,36929,18000,1,2,2,9,Female
63,70248,5000,1,0,2,4,Female
64,91673,14000,3,0,4,6,Female
65,61355,12000,1,0,5,9,Female
66,60403,16000,1,1,4,4,Female
67,85868,19000,2,0,3,6,Male
68,76205,9000,4,2,2,6,Male
69,66524,7000,1,2,4,10,Male
70,69214,20000,1,2,3,7,Male
71,21976,14000,1,2,4,7,Female
72,35149,6000,3,2,2,7,Female
73,27120,11000,3,1,2,6,Female
74,18821,19000,3,1,3,6,Male
75,33187,7000,2,0,5,8,Male
76,93482,16000,3,1,4,6,Male
77,90168,17000,1,2,4,6,Male
78,71881,13000,3,1,4,4,Female
79,59656,6000,2,0,4,10,Female
80,12026,15000,1,1,2,7,Female
81,99589,20000,2,2,4,8,Female
82,38970,7000,3,1,5,5,Female
83,57990,13000,1,1,2,5,Female
84,39447,13000,3,1,4,6,Male
85,79694,9000,3,2,4,5,Male
86,79403,10000,1,1,4,5,Female
87,47296,6000,4,1,3,7,Female
88,37559,5000,4,1,2,5,Female
89,38165,8000,1,1,4,8,Male
90,49198,7000,4,2,4,8,Male
91,18007,13000,2,1,4,6,Male
92,59619,13000,1,1,2,10,Male
93,37016,5000,1,1,4,6,Female
94,91099,8000,1,2,5,7,Male
95,74704,20000,2,2,4,4,Female
96,25742,5000,1,2,5,7,Male
97,11937,18000,3,2,3,6,Male
98,52736,15000,2,0,5,4,Male
99,88338,13000,1,1,4,9,Female
100,18916,5000,2,1,4,6,Male
101,92501,11000,1,0,5,6,Female
102,96213,11000,1,1,5,9,Male
103,26599,10000,4,1,5,10,Female
104,73007,13000,1,0,3,7,Female
105,97935,17000,2,1,2,10,Male
106,26089,12000,2,1,4,9,Male
107,14946,20000,2,1,5,5,Female
108,74795,5000,2,2,2,6,Male
109,73435,8000,3,2,2,6,Male
110,41634,18000,4,2,3,8,Male
111,84069,15000,4,2,3,5,Male
112,83244,12000,2,0,4,9,Male
113,87291,18000,4,1,3,10,Female
114,18086,7000,4,1,2,4,Male
115,33369,18000,4,0,3,6,Male
116,15310,7000,2,2,3,7,Female
117,98499,18000,1,0,2,7,Male
118,35256,17000,4,0,4,7,Female
119,89007,14000,3,1,4,5,Female
120,93997,9000,3,0,4,9,Female
121,16577,10000,4,2,4,6,Male
122,25440,13000,3,0,5,10,Male
123,81116,10000,2,2,2,4,Male
124,63663,17000,1,1,4,8,Female
125,69811,5000,2,2,3,7,Male
126,36111,14000,2,1,5,5,Female
127,39454,20000,4,1,4,9,Female
128,70199,6000,3,2,3,9,Male
129,11602,8000,4,1,5,4,Female
130,49697,9000,3,1,4,6,Male
131,28701,18000,3,1,5,6,Male
132,61627,9000,3,0,2,5,Female
133,34103,12000,4,0,2,6,Male
134,14248,10000,3,1,5,9,Male
135,31256,13000,4,1,5,7,Female
136,45583,15000,3,2,3,6,Female
137,52750,17000,3,0,2,8,Male
138,95507,15000,2,0,5,8,Female
139,23743,15000,1,1,5,9,Male
140,53410,19000,1,0,3,10,Female
141,53898,14000,3,0,2,8,Male
142,66200,16000,2,0,4,5,Male
143,58389,9000,4,1,4,8,Male
144,61347,9000,2,1,5,4,Male
145,59151,10000,4,2,4,8,Male
146,37802,13000,3,0,4,4,Female
147,60475,13000,2,1,3,9,Male
148,95489,5000,2,2,5,6,Female
149,77758,7000,1,2,2,10,Female
150,23768,14000,2,1,2,7,Male
151,87471,11000,3,2,2,9,Male
152,85707,19000,1,1,4,4,Male
153,97951,15000,3,2,2,6,Female
154,54785,7000,4,0,4,6,Male
155,97011,8000,4,2,3,10,Female
156,35103,19000,1,1,4,5,Female
157,18564,12000,3,2,5,7,Male
158,61009,17000,1,2,5,8,Female
159,24054,10000,3,2,5,9,Female
160,63751,8000,1,2,2,4,Male
161,52758,7000,1,0,3,10,Male
162,78473,8000,3,2,5,5,Female
163,80457,8000,2,0,3,4,Male
164,59783,16000,3,0,5,10,Male
165,64241,13000,4,0,4,8,Male
166,32374,14000,1,0,4,9,Male
167,97536,13000,4,0,4,7,Female
168,33110,15000,4,2,3,6,Male
169,36978,9000,1,1,4,9,Female
170,54281,14000,3,1,4,7,Female
171,98602,7000,2,1,2,8,Male
172,97687,6000,2,2,3,7,Female
173,28842,20000,2,0,5,6,Male
174,38410,9000,2,1,5,8,Female
175,38261,17000,4,1,2,7,Male
176,20524,6000,1,0,2,5,Male
177,37671,11000,2,2,2,5,Female
178,25330,14000,3,0,4,8,Female
179,41787,6000,1,1,4,7,Female
180,11412,19000,2,2,3,4,Male
181,55892,10000,1,0,3,5,Male
182,95495,13000,3,0,2,10,Male
183,41946,11000,3,0,3,7,Male
184,86410,16000,1,2,5,8,Male
185,76718,14000,4,0,2,4,Male
186,98969,18000,3,0,4,4,Female
187,77143,9000,1,2,2,6,Female
188,38205,16000,2,2,3,8,Male
189,53851,17000,2,0,3,5,Female
190,52783,6000,3,2,3,5,Male
191,63405,20000,3,0,4,10,Female
192,48510,10000,2,1,3,6,Male
193,97463,20000,3,0,3,5,Male
194,18145,6000,2,2,5,8,Female
195,14398,12000,2,0,4,4,Female
196,98288,8000,2,1,4,8,Male
197,69704,14000,2,0,2,8,Female
198,29058,12000,1,1,2,7,Female
199,15546,19000,1,1,4,7,Female
200,16715,7000,4,2,4,9,Male
201,87350,8000,3,0,2,9,Male
202,13215,11000,1,0,3,8,Male
203,20593,5000,1,0,3,8,Male
204,56624,9000,2,0,3,7,Male
205,33317,17000,2,2,5,5,Female
206,99596,17000,1,0,5,5,Male
207,72430,17000,2,1,2,4,Female
208,16676,19000,4,2,4,4,Male
209,40486,11000,2,0,3,9,Male
210,90958,9000,1,0,2,9,Male
211,67212,16000,4,1,4,6,Female
212,44226,10000,3,1,5,4,Female
213,94251,10000,3,1,3,4,Male
214,61776,8000,1,0,2,10,Male
215,55275,15000,4,1,4,9,Female
216,18609,8000,4,0,4,7,Female
217,54477,11000,3,1,5,4,Female
218,12122,11000,4,0,2,5,Male
219,28208,19000,3,1,5,7,Female
220,68003,13000,2,1,5,8,Female
221,79632,8000,1,0,3,10,Female
222,73811,7000,2,2,5,6,Male
223,72892,20000,4,1,3,10,Female
224,51773,20000,2,2,4,10,Male
225,96163,12000,4,1,5,9,Male
226,61234,16000,4,1,2,5,Female
227,55849,8000,1,2,4,8,Male
228,56156,8000,2,2,3,8,Female
229,54838,10000,7,2,0,0,Female
230,35254,8000,7,2,1,4,Female
231,46635,17000,4,5,0,2,Male
232,97825,19000,6,3,2,3,Male
233,83125,20000,5,4,1,0,Male
234,35483,13000,7,2,1,0,Male
235,15129,16000,6,5,0,4,Male
236,83290,13000,7,4,0,0,Male
237,56486,8000,7,5,2,3,Male
238,31903,8000,6,4,0,4,Male
239,45909,19000,5,2,2,0,Male
240,14263,16000,5,2,0,0,Female
241,46813,20000,4,2,2,1,Female
242,81878,10000,4,5,1,3,Male
243,35549,8000,4,3,2,4,Female
244,85799,12000,6,4,2,1,Male
245,39122,5000,7,3,2,4,Male
246,81531,10000,4,2,1,0,Female
247,69965,7000,4,5,0,1,Female
248,18595,19000,7,3,1,2,Female
249,44398,11000,6,5,1,0,Female
250,32352,9000,6,5,2,0,Male
251,40898,18000,6,3,1,4,Male
252,27101,18000,6,2,1,2,Male
253,33457,9000,4,5,0,4,Female
254,45088,18000,6,2,1,4,Male
255,23302,16000,4,3,1,0,Female
256,27408,7000,5,5,2,3,Male
257,65372,13000,7,3,1,4,Male
258,21531,10000,6,4,2,3,Female
259,56843,12000,6,3,2,1,Female
260,17165,6000,4,4,1,4,Female
261,89328,15000,4,5,1,0,Male
262,20072,18000,5,3,0,4,Female
263,71402,14000,5,4,2,1,Male
264,47496,14000,4,2,0,0,Male
265,24808,17000,4,4,1,2,Female
266,17036,9000,7,4,2,1,Female
267,67193,20000,7,5,0,0,Male
268,34423,15000,6,4,0,1,Male
269,97109,17000,6,5,0,0,Female
270,55382,16000,5,5,1,2,Female
271,51811,10000,4,5,2,1,Male
272,53936,7000,7,2,0,4,Female
273,66504,17000,6,2,2,4,Male
274,53207,18000,6,5,2,1,Female
275,18514,10000,5,5,1,3,Male
276,51319,16000,6,2,1,3,Female
277,36340,15000,4,5,2,0,Male
278,36934,17000,4,5,0,4,Male
279,95925,10000,7,4,2,4,Female
280,49771,6000,6,5,2,1,Female
281,22919,7000,6,4,1,2,Female
282,21233,14000,7,2,0,0,Female
283,74544,6000,6,3,1,1,Female
284,52025,7000,4,3,1,0,Male
285,45652,12000,7,2,1,2,Male
286,73952,11000,5,5,2,4,Female
287,49418,8000,4,5,0,0,Female
288,77026,19000,7,2,0,1,Male
289,49331,7000,5,2,2,4,Male
290,75775,7000,6,5,2,2,Male
291,54906,18000,6,3,1,0,Female
292,94666,5000,7,3,2,2,Female
293,11698,17000,4,3,0,4,Female
294,34677,6000,5,2,1,0,Female
295,95610,7000,6,5,2,3,Female
296,41380,10000,6,4,2,3,Female
297,38033,11000,4,4,0,2,Male
298,85337,7000,7,4,0,0,Female
299,38994,12000,6,5,0,2,Male
300,67911,9000,6,5,2,3,Male
301,92956,15000,6,5,0,0,Female
302,77641,8000,6,4,2,4,Male
303,57565,17000,4,2,2,2,Female
304,53814,13000,4,5,2,2,Female
305,30712,16000,4,4,2,4,Female
306,19785,19000,6,5,1,4,Female
307,31384,19000,6,3,0,0,Male
308,16374,8000,5,3,2,1,Male
309,50878,10000,4,5,0,3,Female
310,78002,14000,6,5,2,3,Male
311,83459,5000,4,5,0,1,Male
312,91987,10000,6,3,0,0,Male
313,51552,5000,7,3,1,4,Male
314,72156,7000,4,2,2,4,Male
315,24998,12000,7,3,1,2,Male
316,45673,19000,4,3,1,3,Female
317,11596,18000,6,4,0,2,Male
318,87485,5000,5,5,0,4,Male
319,28414,14000,6,4,0,3,Male
320,81863,8000,6,2,0,3,Female
321,33240,12000,6,5,2,1,Male
322,11466,9000,7,5,0,0,Female
323,23881,8000,6,3,1,2,Female
324,44645,6000,4,2,2,2,Female
325,49844,9000,4,5,0,4,Female
326,92782,14000,4,4,2,3,Male
327,22824,6000,4,4,2,3,Female
328,26767,11000,5,5,1,1,Female
329,26678,14000,4,4,2,1,Female
330,50412,5000,7,4,2,4,Female
331,17933,19000,6,3,1,2,Male
332,34495,18000,6,5,2,0,Female
333,47437,17000,7,3,1,0,Female
334,22610,15000,5,4,2,2,Female
335,41159,8000,7,4,2,0,Male
336,64672,19000,6,5,2,0,Male
337,62483,12000,4,4,2,1,Female
338,85614,6000,7,2,0,4,Male
339,96548,20000,6,2,0,1,Male
340,19137,10000,6,3,1,1,Male
341,69028,7000,6,3,1,1,Female
342,70779,18000,4,3,2,0,Male
343,38244,9000,6,4,2,3,Female
344,67046,6000,5,3,2,4,Male
345,64897,16000,5,2,2,1,Male
346,46223,14000,7,4,2,1,Male
347,36628,19000,6,3,0,1,Male
348,17565,5000,6,2,0,3,Female
349,77381,18000,4,4,2,3,Female
350,11799,11000,7,3,2,3,Female
351,81940,11000,5,2,0,2,Male
352,66706,12000,7,2,0,1,Female
353,87838,15000,5,2,0,0,Male
354,94437,9000,5,4,1,3,Male
355,33790,9000,7,4,0,2,Female
356,44402,10000,5,5,1,4,Female
357,29886,16000,6,5,1,1,Female
358,66804,7000,4,4,2,2,Male
359,47866,9000,5,2,2,0,Male
360,61996,8000,4,2,0,2,Female
361,15318,14000,6,3,0,1,Male
362,89635,18000,6,3,1,4,Female
363,71681,20000,5,5,2,1,Male
364,71862,6000,5,2,0,1,Male
365,96186,13000,6,4,2,3,Male
366,22348,13000,7,5,0,2,Female
367,36243,17000,7,5,0,3,Male
368,88807,8000,4,3,2,1,Female
369,82376,20000,4,3,0,3,Female
370,98126,19000,6,4,1,3,Male
371,80347,11000,5,3,2,3,Female
372,17649,6000,5,2,2,1,Female
373,62807,17000,6,5,1,1,Female
374,92522,6000,4,5,0,1,Male
375,57459,18000,6,5,0,4,Male
376,44579,16000,6,3,1,3,Female
377,45476,13000,5,4,1,2,Female
378,61994,19000,5,2,0,4,Male
379,11398,12000,6,5,2,1,Female
380,24702,6000,7,2,0,3,Male
381,27824,13000,7,2,0,4,Female
382,45878,19000,4,2,0,1,Female
383,72431,6000,6,3,2,3,Male
384,19215,18000,5,3,1,3,Male
385,23409,8000,4,4,0,0,Female
386,16418,8000,7,4,2,0,Female
387,85122,18000,5,2,2,2,Female
388,55060,8000,7,3,0,3,Female
389,55478,12000,5,4,2,1,Male
390,65574,11000,4,5,0,3,Female
391,31113,11000,4,2,0,4,Male
392,96929,13000,4,5,0,0,Female
393,78912,6000,4,4,0,0,Male
394,68439,20000,4,2,0,1,Female
395,62864,13000,7,4,0,1,Female
396,31515,5000,4,5,0,1,Male
397,77954,73000,6,4,2,0,Female
398,88207,49000,5,3,2,0,Female
399,96929,67000,6,2,2,2,Male
400,78618,61000,7,3,0,1,Male
401,31551,75000,7,3,2,4,Female
402,75792,48000,4,4,0,3,Male
403,29864,56000,4,2,0,2,Male
404,45440,72000,4,3,2,1,Male
405,97954,70000,7,2,0,4,Male
406,90189,51000,7,3,0,4,Male
407,55090,73000,6,2,0,2,Male
408,17703,50000,5,4,0,1,Male
409,33991,49000,5,3,0,1,Female
410,88884,69000,7,2,2,2,Female
411,45808,40000,5,2,2,2,Male
412,50706,44000,4,5,0,2,Female
413,92140,31000,6,5,2,1,Female
414,88123,37000,7,5,0,1,Male
415,53932,65000,4,3,0,3,Male
416,65908,48000,7,3,2,3,Female
417,25321,46000,5,2,2,3,Male
418,87456,61000,5,5,1,4,Male
419,48602,74000,5,2,0,0,Male
420,97530,58000,6,4,0,1,Male
421,48657,39000,5,3,2,2,Female
422,76209,70000,5,5,0,4,Male
423,49913,56000,6,3,1,0,Male
424,53002,52000,5,3,0,3,Male
425,61122,33000,5,4,2,0,Male
426,82807,47000,6,2,0,4,Male
427,93496,71000,7,2,0,2,Female
428,64519,50000,7,5,2,2,Female
429,31950,56000,4,4,0,3,Male
430,23110,41000,4,4,1,0,Male
431,96297,71000,6,4,0,0,Male
432,28408,72000,6,5,2,3,Female
433,37252,59000,6,2,1,2,Male
434,41287,64000,6,3,2,3,Male
435,52460,45000,4,2,1,2,Male
436,26604,74000,4,5,0,3,Female
437,58019,73000,4,2,1,1,Female
438,87219,54000,6,3,0,2,Female
439,36839,31000,7,2,1,4,Male
440,12663,66000,7,4,0,3,Female
441,48667,50000,5,3,0,3,Female
442,42887,27000,6,2,1,3,Female
443,14439,51000,4,3,0,3,Male
444,60851,65000,6,5,2,3,Female
445,41266,67000,6,5,2,0,Male
446,37438,43000,7,5,0,4,Female
447,65747,70000,5,4,0,2,Male
448,81166,61000,5,2,2,1,Male
449,20570,31000,4,4,2,1,Male
450,14816,36000,4,3,2,3,Female
451,11265,51000,7,3,2,0,Male
452,24980,36000,4,4,2,2,Male
453,37934,50000,5,4,2,3,Male
454,70707,74000,4,4,0,3,Female
455,84351,25000,4,3,0,2,Female
456,89446,47000,6,2,0,4,Male
457,17325,41000,6,5,2,3,Male
458,64774,57000,5,2,0,4,Female
459,53166,67000,7,2,1,3,Male
460,45341,74000,7,4,2,4,Female
461,94595,26000,6,4,2,3,Male
462,55170,38000,4,4,2,3,Male
463,92489,75000,4,4,0,1,Female
464,92933,38000,4,5,1,4,Male
465,36504,52000,4,2,1,2,Female
466,40508,48000,5,5,0,2,Female
467,15798,70000,6,2,0,3,Female
468,70101,36000,4,4,2,1,Female
469,77613,36000,5,5,0,4,Female
470,84360,66000,6,2,1,1,Male
471,48402,37000,5,5,1,4,Male
472,46776,48000,6,3,2,2,Male
473,67258,35000,6,3,1,4,Male
474,44804,26000,6,3,1,2,Female
475,29919,38000,4,3,1,4,Female
476,65781,45000,5,5,2,2,Male
477,12456,70000,6,5,0,4,Male
478,62649,51000,7,5,2,4,Female
479,74446,34000,6,3,2,1,Female
480,36632,47000,7,3,2,2,Male
481,76024,47000,6,2,0,0,Female
482,75065,30000,7,3,1,0,Female
483,51682,74000,4,2,0,4,Male
484,18397,30000,5,4,1,1,Female
485,29102,28000,5,4,1,1,Male
486,56367,58000,7,3,2,1,Male
487,95147,64000,4,2,2,2,Male
488,44379,39000,7,5,2,1,Female
489,76957,44000,6,4,0,2,Female
490,42921,50000,7,5,2,1,Male
491,23102,65000,4,2,0,0,Female
492,61324,63000,4,5,0,0,Female
493,49690,50000,6,4,2,0,Female
494,20043,35000,6,2,1,4,Female
495,44144,29000,4,3,0,1,Female
496,53552,56000,7,3,0,3,Female
497,62530,49000,5,3,2,3,Female
498,41741,52000,4,2,1,2,Male
499,22842,31000,4,4,1,0,Male
500,65825,68000,6,4,2,2,Male
501,77826,41000,5,4,0,4,Female
502,61216,38000,6,3,1,0,Male
503,83192,54000,6,2,2,4,Male
504,82023,70000,6,3,0,0,Female
505,73000,34000,6,5,1,0,Male
506,64550,68000,5,2,0,2,Female
507,90131,26000,6,5,2,3,Female
508,17382,42000,6,3,2,0,Male
509,27117,59000,7,2,0,3,Male
510,94529,30000,4,4,2,1,Male
511,21717,33000,6,2,2,2,Male
512,81910,49000,6,2,0,2,Female
513,76492,62000,6,2,1,3,Male
514,43000,40000,5,3,1,4,Male
515,48692,30000,5,2,2,3,Male
516,27476,37000,4,4,2,2,Female
517,15086,32000,7,4,0,3,Male
518,43034,62000,4,2,2,3,Female
519,99131,36000,7,4,0,2,Female
520,13140,57000,7,2,0,0,Male
521,99437,39000,6,4,0,4,Female
522,91242,70000,4,3,2,2,Male
523,39285,36000,7,5,0,0,Female
524,63710,69000,6,3,0,2,Male
525,90860,59000,7,3,2,4,Male
526,35585,71000,5,4,1,0,Female
527,58708,29000,4,2,2,3,Male
528,57451,37000,5,2,1,3,Female
529,69868,34000,4,3,0,1,Male
530,43679,34000,6,3,2,4,Male
531,30256,38000,4,3,0,0,Male
532,26334,32000,4,3,2,2,Male
533,47848,48000,4,3,2,2,Female
534,17377,36000,6,3,0,3,Female
535,39644,56000,6,4,0,3,Male
536,29176,28000,4,5,1,3,Female
537,55706,48000,4,4,1,0,Male
538,51771,68000,7,3,1,4,Female
539,83585,74000,7,4,1,3,Male
540,51867,70000,4,4,1,0,Female
541,68040,45000,7,2,0,3,Female
542,50706,60000,7,5,2,2,Male
543,75417,47000,5,5,1,2,Male
544,34775,60000,5,2,1,0,Male
545,85645,54000,6,3,1,2,Male
546,83545,28000,7,5,0,4,Male
547,44157,68000,7,2,1,4,Female
548,38125,26000,4,5,2,4,Female
549,75398,56000,4,3,0,4,Female
550,90999,39000,7,5,2,3,Male
551,70376,59000,7,5,2,3,Female
552,33295,37000,7,2,1,1,Male
553,80942,65000,7,3,2,1,Female
554,26493,41000,7,4,1,3,Male
555,97850,33000,5,2,2,0,Male
556,43841,52000,4,5,0,4,Male
557,79885,60000,4,5,0,4,Female
558,59316,62000,7,4,1,4,Male
559,83466,40000,6,5,1,2,Female
560,81510,41000,7,5,2,3,Male
561,35268,46000,6,3,1,0,Female
562,11734,29000,7,5,0,2,Female
563,88411,56000,7,3,0,1,Male
564,96269,69000,5,4,1,0,Female
565,87683,36000,7,4,0,0,Male
566,26063,69000,6,5,0,1,Male
567,42479,38000,6,5,0,1,Female
568,58116,29000,7,3,1,1,Male
569,67282,58000,6,5,1,0,Male
570,84888,72000,6,4,1,0,Female
571,75366,64000,4,2,1,1,Male
572,14377,36000,7,2,0,4,Female
573,59074,71000,7,4,0,2,Female
574,96534,66000,7,2,2,3,Male
575,31870,70000,4,3,2,0,Male
576,24748,73000,5,3,0,4,Female
577,68920,30000,6,3,1,1,Male
578,67637,44000,5,3,0,4,Male
579,60839,39000,7,5,0,3,Male
580,59170,65000,4,3,0,0,Female
581,90586,52000,4,5,2,1,Male
582,56270,26000,6,5,1,4,Female
583,87670,68000,6,5,1,0,Male
584,47703,52000,6,2,0,0,Female
585,35421,34000,6,4,1,3,Male
586,58511,39000,7,4,0,4,Male
587,76398,31000,7,3,0,2,Female
588,93310,70000,4,3,0,4,Female
589,36836,55000,4,3,1,0,Female
590,46373,29000,4,5,0,2,Female
591,94700,36000,6,2,2,3,Female
592,67860,68000,5,2,1,4,Male
593,99473,54000,5,4,2,1,Female
594,68862,66000,4,5,1,1,Male
595,93381,60000,4,2,1,4,Male
596,46548,41000,7,4,2,2,Female
597,74083,42000,6,4,2,0,Female
598,48660,38000,7,5,2,1,Female
599,13720,64000,5,4,1,2,Female
600,72339,57000,6,2,2,0,Female
601,99284,68000,7,5,0,0,Female
602,47198,33000,5,4,0,2,Male
603,67415,37000,7,4,0,1,Female
604,44403,60000,6,3,2,3,Male
605,58276,27000,7,3,0,2,Female
606,85234,36000,5,2,2,3,Female
607,31948,63000,5,3,1,3,Female
608,90191,34000,6,3,1,0,Female
609,49341,47000,4,4,1,0,Female
610,11562,38000,4,3,2,0,Male
611,16253,39000,7,2,1,0,Male
612,80623,46000,7,4,1,3,Female
613,94391,157000,9,1,14,1,Male
614,50598,94000,9,1,11,0,Male
615,40019,163000,8,1,7,1,Female
616,77910,131000,9,1,10,1,Female
617,89832,96000,10,1,11,2,Male
618,98216,136000,8,0,13,0,Male
619,54495,121000,7,0,13,2,Male
620,47650,158000,7,0,13,0,Female
621,32107,108000,10,0,15,1,Male
622,84192,166000,9,1,12,2,Female
623,53916,176000,10,1,15,2,Female
624,32584,166000,10,0,7,0,Female
625,97285,178000,7,0,11,0,Female
626,20337,91000,8,1,6,1,Male
627,15585,156000,9,1,10,2,Male
628,20620,146000,10,0,12,1,Male
629,75009,84000,9,1,15,0,Female
630,76203,155000,8,0,7,2,Male
631,33837,200000,10,0,13,0,Male
632,14916,195000,8,0,15,0,Female
633,97935,187000,7,1,7,0,Male
634,16180,163000,7,1,10,1,Male
635,49493,106000,8,0,8,1,Female
636,70974,114000,10,1,7,2,Female
637,40217,126000,10,1,8,0,Male
638,88442,173000,9,1,11,0,Female
639,17538,153000,8,1,7,1,Female
640,90839,184000,7,1,15,2,Female
641,99843,123000,8,1,15,2,Female
642,27212,144000,10,0,10,2,Male
643,91575,97000,10,1,9,2,Female
644,60190,98000,9,0,8,2,Male
645,18519,127000,10,1,15,1,Female
646,48762,171000,10,0,15,0,Male
647,58392,186000,7,0,8,1,Female
648,79953,183000,9,0,9,2,Female
649,13315,111000,8,1,7,0,Male
650,30570,112000,10,1,8,1,Male
651,78996,195000,10,1,12,2,Male
652,78404,132000,9,1,12,2,Male
653,28525,156000,8,1,8,0,Male
654,51826,95000,10,0,15,1,Female
655,65750,172000,10,1,9,1,Male
656,51108,99000,10,1,10,0,Female
657,60732,84000,10,1,13,2,Female
658,53834,145000,8,1,9,1,Male
659,80655,172000,10,1,15,0,Male
660,80150,167000,9,0,12,2,Female
